ImageId,EncodedPixels,confidence,area
13f4a4f6d.jpg,522051 4 522817 7 523584 9 524352 9 525120 10 525889 9 526657 9 527425 9 528193 10 528962 9 529730 9 530498 9 531266 9 532035 8 532803 8 533571 8 534339 8 535107 8 535876 7,0.510175883769989,159
8e5b56b7d.jpg,287316 9 288084 9 288853 8 289621 8 290389 8 291157 8 291925 8 292693 8 293461 8 294229 8 294997 8 295765 8 296533 8 297301 8 298069 8 298837 8 299605 8 300373 8 301140 9 301908 9 302677 8,0.9979475140571594,172
8e5b56b7d.jpg,284246 1 285013 8 285781 8 286549 9 287325 1 288093 1 288861 1 289629 1 290397 1 291165 1 291933 1 292701 1 293469 1 294237 1 295005 1 295773 1 296541 1 297309 1 298077 1 298845 1 299613 1 300381 1 301149 1 301917 1 302685 1,0.7591445446014404,47
8ee584e6a.jpg,133333 8 134100 10 134868 10 135636 10 136404 10 137172 10 137940 10 138708 10 139476 9,0.9948474168777466,87
8ee584e6a.jpg,35144 11 35910 14 36678 14 37445 15 38213 15 38981 15 39749 15 40517 15 41286 14 42054 13 42823 11,0.9883269667625427,152
8ee584e6a.jpg,247979 5 248746 11 249513 14 250280 16 251048 17 251816 17 252584 17 253352 17 254121 16 254890 15 255660 13 256431 8,0.9776515364646912,166
8ee584e6a.jpg,132565 9 133332 1 133341 2 134099 1 134110 1 134867 1 134878 2 135635 1 135646 2 136403 1 136414 2 137171 1 137182 2 137939 1 137950 2 138707 1 138718 1 139485 2 140245 9,0.9425004124641418,42
8ee584e6a.jpg,301935 3 302703 5 303470 7 304237 8 305004 9 305771 9 306538 9 307306 9 308074 8 308842 7 309610 7 310378 6,0.9297907948493958,87
8ee584e6a.jpg,302702 1 303469 1 304236 1 305003 1 305769 2 306536 2 306547 1 307303 3 308070 4 308837 5 309605 5 310373 5 311141 11 311910 9 312679 7 313449 4,0.9008842706680298,62
8ee584e6a.jpg,256439 1,0.8940844535827637,1
8ee584e6a.jpg,393274 8 394041 11 394808 13 395575 14 396343 15 397111 15 397879 15 398647 15 399415 14 400184 13 400952 12 401721 10,0.8416631817817688,155
8ee584e6a.jpg,71612 4 72380 5 73148 5 73915 6 74683 7 75451 7 76219 7 76986 8 77754 8 78522 8 79290 8 80058 8 80826 7 81594 7 82363 6 83131 6 83900 4,0.7760306000709534,111
8ee584e6a.jpg,301938 1,0.4083222448825836,1
